Wall time,Step,Value
1745064105.211441,172,29.71420669555664
1745064173.469069,244,36.14668273925781
1745064187.7299929,259,37.381351470947266
1745064325.084754,402,57.89729690551758
1745064386.799602,465,57.7884521484375
1745064430.6101284,510,65.43620300292969
1745064457.7065337,538,62.40008544921875
1745064475.362779,556,56.59840774536133
1745064514.8003857,596,63.031463623046875
1745064575.6124766,658,66.4693374633789
1745064679.3496575,764,68.91683197021484
1745064718.5952954,804,68.10259246826172
1745064778.7027109,866,73.93291473388672
1745064923.6072226,1015,75.3120346069336
1745064934.362851,1026,65.52229309082031
1745064945.14498,1037,71.78665924072266
1745065030.628572,1125,73.74629974365234
1745065037.3028193,1132,75.93801879882812
1745065068.40934,1164,78.19801330566406
1745065087.7943966,1184,68.84381866455078
1745065153.7029583,1252,82.9542465209961
1745065172.277189,1271,83.3788833618164
1745065315.3488193,1417,74.8648910522461
1745065355.6237435,1458,83.31068420410156
1745065390.9938781,1494,79.84618377685547
1745065406.6944304,1510,84.024169921875
1745065409.6070638,1513,77.93130493164062
1745065443.964504,1548,79.10888671875
1745065460.7333438,1565,80.65301513671875
1745065563.6727653,1670,71.18128967285156
1745065829.4871738,1940,88.73087310791016
1745065849.3367522,1960,78.65788269042969
1745066353.7195396,2436,80.53228759765625
1745066358.5816243,2441,81.94776916503906
1745066379.356873,2462,82.95048522949219
1745066419.8082814,2503,78.12214660644531
1745066492.897664,2577,80.05633544921875
1745066557.8461723,2643,81.48188018798828
1745066598.442088,2684,86.74191284179688
1745066607.2883382,2693,89.24581146240234
1745066622.0798085,2708,79.97490692138672
1745066630.890592,2717,95.20531463623047
1745066681.2109475,2768,81.73712158203125
1745066698.2865977,2785,81.82735443115234
1745066884.0236285,2973,82.21512603759766
1745066993.2409513,3083,78.35736083984375
1745067013.833848,3104,91.6595230102539
1745067014.797949,3105,90.86592864990234
1745067054.4867358,3145,96.67594909667969
1745067126.1193924,3217,97.0729751586914
1745067152.5530596,3241,98.76661682128906
1745067178.6499324,3265,77.83329772949219
1745067276.9995015,3356,92.54122161865234
1745067328.8805017,3404,89.00167083740234
1745067431.5245934,3500,91.47471618652344
1745067459.2944906,3526,93.82880401611328
1745067502.399144,3566,90.31730651855469
1745067539.0799108,3600,83.48464965820312
1745067556.1791344,3616,91.5010757446289
1745067597.1407537,3654,85.2558822631836
1745067612.1079972,3668,91.70614624023438
1745067615.3575764,3671,86.6383285522461
1745067659.4341428,3712,99.151123046875
1745067734.9120681,3782,109.51387023925781
1745067805.7228005,3848,93.16877746582031
1745067877.4387662,3915,79.04690551757812
1745067992.7031567,4023,120.33985900878906
1745068084.993156,4109,88.7650146484375
1745068097.804669,4121,92.12226104736328
1745068189.8875723,4181,85.98564147949219
1745068201.5973623,4192,85.0921859741211
1745068239.001544,4227,78.8357162475586
1745068337.2688994,4318,83.63835144042969
1745068348.109264,4328,96.1157455444336
1745068575.1719632,4539,106.4582290649414
1745068602.005025,4564,92.47515869140625
1745068692.700129,4649,108.58051300048828
1745068736.3454573,4690,87.04975891113281
1745068886.7280986,4832,107.37507629394531
1745068890.9127247,4836,79.51439666748047
1745068939.7838125,4882,101.52997589111328
1745069159.5695846,5090,109.41927337646484
1745069203.9617574,5132,102.666259765625
1745069208.1377566,5136,86.7119369506836
1745069262.1439257,5187,98.46306610107422
1745069275.8099098,5200,81.46195983886719
1745069302.0936499,5225,93.77767944335938
1745069340.9539125,5262,96.32389831542969
1745069375.724833,5295,79.06455993652344
1745069446.356761,5362,97.76006317138672
1745069489.3349152,5403,103.99515533447266
1745069542.72502,5454,89.23216247558594
1745069765.964856,5667,100.71556091308594
1745069939.7472546,5832,91.82292175292969
1745069975.5159066,5866,100.41943359375
1745069989.2047472,5879,85.6146240234375
1745070070.3301234,5956,90.3609390258789
1745070096.7442122,5981,101.4018783569336
1745070113.8228612,5997,95.52757263183594
1745070173.4360843,6053,103.40846252441406
1745070234.5555282,6111,101.7891845703125
1745070263.0230052,6138,96.01206970214844
1745070267.184701,6142,93.07025909423828
1745070354.5130706,6225,92.51592254638672
1745070440.0101035,6279,94.9342041015625
1745070496.027638,6332,99.80400848388672
1745070498.1145911,6334,114.25619506835938
1745070523.4272304,6358,103.09069061279297
1745070524.4700654,6359,90.83319854736328
1745070535.0343013,6369,98.50963592529297
1745070726.9149177,6551,98.67544555664062
1745070745.8203611,6569,96.07438659667969
1745070762.7334359,6585,102.55007934570312
1745070768.0713828,6590,87.58624267578125
1745070777.5139933,6599,117.11866760253906
1745070915.5649614,6730,100.30290222167969
1745070936.6701372,6750,89.12469482421875
1745070991.2090938,6802,89.2830581665039
1745071038.6225116,6850,99.25741577148438
1745071105.6733,6919,112.79470825195312
1745071175.2978346,6991,108.89881896972656
1745071180.1747534,6996,106.50062561035156
1745071236.474564,7054,93.11940002441406
1745071383.9783034,7207,82.35489654541016
1745071428.4527826,7253,106.07787322998047
1745071605.2088006,7436,86.39598083496094
1745071632.1784832,7464,108.44686889648438
1745071636.0156276,7468,105.4405288696289
1745071708.5593028,7543,82.57059478759766
1745071767.6237342,7604,110.74433135986328
1745071806.014646,7644,95.8123779296875
1745071886.577128,7727,118.71199798583984
1745071889.483369,7730,106.47061157226562
1745071914.4153993,7756,94.34126281738281
1745071951.266312,7794,83.8798828125
1745071977.5330744,7821,107.11248016357422
1745072010.676981,7855,109.07427215576172
1745072137.6454058,7986,102.84333038330078
1745072269.3751426,8122,109.49114227294922
1745072431.534703,8291,114.01203155517578
